essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,essay_length,question
6206,3,"The setting in this story is important because if you don’t have a setting then this will not make sence, setting is something everyone can do. It can be anywhere or anything. The setting helps puts the whole story back together. The setting in this story is @LOCATION1 spending time with his family. Setting is a very important part in a morvie/video.",0,0,,0,62,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6296,3,"The setting was hot and dry, which affected the cyclist greatly. She didn’t have enough space to carry a lot of water and rod to make portrons to drink. Also listening to old guys who didn’t know much didn’t help either and sent her on a much harder path to travel",0,0,,0,51,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7422,3,My point of view that affect a cyclist that people need to recycle sometimes people is throwing away trash can with soda in side of it people cyclist now in days some times they need to change that role my conclusion people need to save stuff to make some new things to make a good quality world of cyclist things.,0,0,,0,60,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7611,3,"There are many affects of the setting in this eassy that, that can be good and or bad. The setting is alone on a empty mountain road, with no house, no cars, no people. In now going to give you some good and bad effects. One good effect is that you by yourself so while you exercise you can relax and enjoy the energy. One bad thing is that what if you pop a tire or need help. You stock because theirs no one around. Another good thing is that you being by yourself, @CAPS1 any cars. You don’t have to worry about getting hit so you’ll be able to just relax and enjoy the ride . Another bad thing is there is no water so you might want to bring plenty with you. So whatever you decide to do just be careful and think you idea thought  ",1,1,,1,148,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6471,3,The setting affects the cyclist because it’s very hot outside and he is starting to loose energy. The setting affects how fast he rides when he stops or when he drinks or eats. all of these depend on the type of weather he is riding in. like in the story it was so hot out when he saw a building he wiped the sweat from his face to make sure it wasn’t a mirage.,1,1,,1,74,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6040,3,In the essay ‘ Rough Road Ahead Do Not exede posted speed him if many of the featutres of the setting affect the cyclist. At first the cyclist goes by river wich he wount find later in the journey.As he goes along in the journey the heat and lack of water starts to affect him. Also he finds a water fountain that pours hot water with the flavor that has long since been shut down. The cyclist is affected by many features of the setting.,1,1,,1,85,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7374,3,"The wether can change the corse of action a cyclist will take. If it is cold out side then the cyclist will bring beveyer cloths if its. Hoter out side he would most likly bring lighter clothes. If he was riding farther hed bring more supplys like water and food If he was going on a short rid then he wouldn’t bring so much stuff. The way the wether is changes the way a person will prepaire,",1,1,,1,77,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6062,3," The bike rider in the short story “Do not exceed posted speed limit” by @PERSON1, is greatly affected by the condition of land around him. He is riding through the extremely dry desert and is running, low on water. However since it is such a dry place he can’t find any. Also since it is out in the middle of no where, there is no one he can ask for some. If this story was set somewhere else he wouldn’t have has either problems.",1,1,,1,84,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7468,3,"The features of the setting affected the cyclist because he was out of water in a desert like environment and their was no one ground for most of it so he was down on his own. The cyclist was affected when in the story when he says ''I got down on my hands and knees, working the water handle of the rusted water pump with all my strength. A tar like substaNce oozed out followed by brackish water feeling somewhere in the neighborhood of two hundred degrees. That affected him because, he was drinking a lot of water before he got to that point in his trip and he was almost out so he needed to fill up with more but he did not have a place to get more water. That is one of the features of the setting that affected him.",1,1,,1,143,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6126,3,"If I had a choice to ride a bike in California or vermont, it would be a no-brairer to bike in vermont. The temperature in vermont would be much cooler than in California. In the story the cyclist comlains about the ""wide rings of dried sweat"" and the possibility of heatstroke. It is proven that when temperatures rise, you tend to lose more water from your body. Had the cyclist gone to a cooler site at a different time of year he wouldn't have struggled with dehydration on his bike ride. ",1,1,,1,91,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7395,3,The features of the setting affects the cyclist because he knows he’s in the wrong area. The cyclist understand's that he should have never took that advice from them old men. So he was upset and new he should have taken his advise. The cyclist had a feeling that he wasn’t supposed to take it that way he said he shouldn’t have let them take a peek at his map. So the features really affect him.,1,1,,1,76,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7109,3,"Features of any setting affect what you do and how you do it. Features affect the cyclist by water, help, and saftey. “I’d read once that sucking on stones helps take your mind off thirsty by allowing what spit you have to circulate.” This quote so his desperate need for water by saying he sucks a on rock to drink his own spit. The rough terrain and abandoned road the old men sent him on that was out of date, made him unable to ask for directions, and to even know if he is travelling correctly. Along the road he meets a snake. Being so far away from civilization, if he was to have gotten bit then he would have no one to help save him from dyeing on the side of the road. Also, if he was to have a heatstroke he has no water and no help. Safty, help, and water are all factors which contribute to the features, and how they effect the cyclist.   ",1,1,,1,167,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6952,3,"At times when the features of the setting are bad it can have a great impact on the cyclist. For one if it’s too hot the cyclist is going to need plenty of water if he/she does'nt want to be dehydrated. There are also the dangers of heat strokes and deadly snakes, cyclist might want to avoid that. When your a cyclist times can be hard just prepared for the long run.",1,1,,1,72,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7615,3,"The features of the setting effected the cyclist in many ways. The setting was verry hot and there were a lot of hills. The cyclist had been riding up and down hills all day and it took a lot of energy when he saw the building that he thought could help him he said, “... last burst of energy, i mane'uvered down the hill,” By saying that it showed that the setting of where he was contained a lot of hillsy and they effected him by taking up all his energy. That is how the setting had effected the cyclist.",1,1,,1,100,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6086,3,"The features of the setting affect the cyclist because it is hard to go far on a bike when the place, you are ridding is dry, abandoned, a quiet, hot cold and straight forward. It tells you that the setting is abandoned when if says “there was none in sight, not a building, car or structure of any kind"". This would make it hard for a cycler because you need a good water supply and thats hard to keep when there is nothing around.",1,1,,1,84,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6729,3,The features of the setting affected the cyclist because where they were.It was like in te middle of nowhere and every person they asked are having all times.They go the wrong directions to the nearest town.The old guy told him it was @NUM1 miles down the road when he went @NUM2 miles to the next town and said to him self he will never take directions from a gut that has all timers and hasn’t left the confines of their porches since carter was in office.,1,1,,1,86,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7253,3,The features of the setting affect the cycleist by hurting his ability to keep going. In this story the cyclist was faced with many setbacks or problems. At first he took advice from very old man who had out of date directions. Then the cyclist thought he could keep going on a very limited water supply. The cyclist then was getting dehydrated and angry. The cyclist then found an old building which raised his hopes only to drop them once he found out it was closed and rundown. Finally he finds a store and then dehydrates and is on his way again.,1,1,,1,102,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7634,3,"In the essay, Do Not Exceed Posted Speed Limit by Joe Kurmaskie, features of setting affect the cyclist because there is old people that been around for along time and you can’t ask for advice because they’re to old old to give information and wouldn’t know what their talking about. “A better piece of advice for the solo cyclist would be, “Never accept travel advice from a collection of old-timers who haven’t left the confines of their porches sine Carter was in office.” That is the features of the setting and examples from the essay.",1,1,,1,95,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6988,3,"In the essay “Rough Road Ahead: Do Not Exceed Posted Speed Limit.” The cyclist is affected by the setting mently and physicly. For example the setting affected the cyclist mently because it all was dessert and sand with no water. He thought he was going to die, he said “I was going to die and the birds would pick me clean.” If he had some water he would not have thought this. Also the cyclist was affected phyisicly because the road was rough it looked as it could go on forever. He was losing energy and was getting tired from riding up all the hills with little water left in him. It was hot and it seemed hopeless but if he was riding through the evergreen forest I don’t think he would have felt this way. In conclusion the cyclist was effected by the setting phyisicly and mently if he had not been riding in the desert he would not feel this way",2,2,,2,163,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6881,3,"In the story “Do Not Exceed Posted Speed Limit” the setting affects the cyclist in many ways. The speaker tells us that he’s riding his bike in the middle of the desert in June. This shows the author is probably very hot. The author tells us that the road turned into hills and bumps. This would make it more difficult for the author because he would have to use more energy to move up the hill. And lastly, the cyclist tells us that the “towns” he came to were abandoned and uncared for. This would not be good for the cyclist because he would be able to get water for his trip.",2,2,,2,112,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
